feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,score
6.8,0.67,0.02,1.8,0.83,0.05,5,11,27,0.9962,3.48,33,0.52,9.5,5
4.6,0.52,0.15,2.1,0.88,0.054,8,65,29,0.9934,3.9,42,0.56,13.1,4
7.7,0.935,0.43,2.2,0.54,0.114,22,114,33,0.997,3.25,72,0.73,9.2,5
8.7,0.29,0.52,1.6,0.68,0.113,12,37,37,0.9969,3.25,68,0.58,9.5,5
6.4,0.4,0.23,1.6,0.68,0.066,5,12,39,0.9958,3.34,66,0.56,9.2,5
5.6,0.31,0.37,1.4,0.83,0.074,12,96,19,0.9954,3.32,84,0.58,9.2,5
8.8,0.66,0.26,1.7,0.78,0.074,4,23,15,0.9971,3.15,33,0.74,9.2,5
6.6,0.52,0.04,2.2,0.93,0.069,8,15,37,0.9956,3.4,39,0.63,9.4,6
NA,0.5,0.04,2.1,0.68,0.068,6,14,48,0.9955,3.39,18,0.64,9.4,6
8.6,0.38,0.36,3,0.54,0.081,30,119,37,0.997,3.2,34,0.56,9.4,5
7.6,0.51,0.15,2.8,0.78,0.11,33,73,19,0.9955,3.17,26,0.63,10.2,6
7.7,0.62,0.04,3.8,0.78,0.084,25,45,25,0.9978,3.34,91,0.53,9.5,5
10.2,0.42,0.57,3.4,0.88,0.07,4,10,12,0.9971,3.04,80,0.63,9.6,5
7.5,0.63,0.12,5.1,0.73,0.111,50,110,43,0.9983,3.26,62,0.77,9.4,5
7.8,0.59,0.18,2.3,0.83,0.076,17,54,16,0.9975,3.43,78,0.59,10,5
7.3,0.39,0.31,2.4,0.78,0.074,9,46,15,0.9962,3.41,1,0.54,9.4,6
8.8,0.4,0.4,2.2,0.73,0.079,19,52,41,0.998,3.44,52,0.64,9.2,5
7.7,0.69,0.49,1.8,0.59,0.115,20,112,31,0.9968,3.21,4,0.71,9.3,5
7.5,0.52,0.16,1.9,0.63,0.085,12,35,21,0.9968,3.38,63,0.62,9.5,7
7,0.735,0.05,2,0.54,0.081,13,54,31,0.9966,3.39,86,0.57,9.8,5
7.2,0.725,0.05,4.65,0.73,0.086,4,NA,28,0.9962,3.41,15,0.39,10.9,5
7.2,0.725,0.05,4.65,0.98,0.086,4,11,22,0.9962,3.41,82,0.39,10.9,5
7.5,0.52,0.11,1.5,0.68,0.079,11,39,20,0.9968,3.42,11,0.58,9.6,5
6.6,0.705,0.07,1.6,0.63,0.076,6,15,21,0.9962,3.44,92,0.58,10.7,5
9.3,0.32,0.57,2,0.68,0.074,27,65,14,0.9969,3.28,25,0.79,10.7,5
8,0.705,0.05,1.9,0.83,0.074,8,19,26,0.9962,3.34,27,0.95,10.5,6
7.7,0.63,0.08,1.9,0.93,0.076,15,27,49,0.9967,3.32,78,0.54,9.5,6
NA,0.67,0.23,2.1,0.68,0.088,17,96,20,0.9962,3.32,78,0.48,9.5,5
NA,0.69,0.22,1.9,0.78,0.084,18,94,35,0.9961,3.31,96,0.48,9.5,5
8.3,0.675,0.26,2.1,0.93,0.084,11,43,18,0.9976,3.31,9,0.53,9.2,4
9.7,0.32,0.54,2.5,0.59,0.094,28,83,44,0.9984,3.28,33,0.82,9.6,5
8.8,0.41,0.64,2.2,0.83,0.093,9,42,16,0.9986,3.54,71,0.66,10.5,5
8.8,0.41,0.64,2.2,0.88,0.093,9,42,13,0.9986,3.54,82,0.66,10.5,5
6.8,0.785,0,2.4,0.93,0.104,14,30,49,0.9966,3.52,47,0.55,10.7,6
6.7,0.75,0.12,2,0.78,0.086,12,80,24,0.9958,3.38,38,0.52,10.1,5
8.3,0.625,0.2,1.5,0.93,0.08,27,119,38,0.9972,3.16,69,1.12,9.1,4
6.2,0.45,0.2,1.6,0.68,0.069,3,15,24,0.9958,3.41,98,0.56,9.2,5
7.8,0.43,0.7,1.9,0.68,0.464,22,67,28,0.9974,3.13,89,1.28,9.4,5
7.4,0.5,0.47,2,0.73,0.086,21,73,35,0.997,3.36,6,0.57,9.1,5
7.3,0.67,NA,1.8,0.54,0.401,16,51,31,0.9969,3.16,39,1.14,9.4,5
6.3,0.3,0.48,1.8,0.78,0.069,18,61,14,0.9959,3.44,36,0.78,10.3,6
6.9,0.55,0.15,2.2,0.88,0.076,19,40,11,0.9961,3.41,45,0.59,10.1,5
8.6,0.49,0.28,1.9,0.98,0.11,20,136,28,0.9972,2.93,0,1.95,9.9,6
NA,0.49,0.26,1.9,0.78,0.062,9,31,13,0.9966,3.39,8,0.64,9.6,5
9.3,0.39,0.44,2.1,0.88,0.107,34,125,20,0.9978,3.14,8,1.22,9.5,5
7,0.62,0.08,1.8,0.93,0.076,8,24,33,0.9978,3.48,88,0.53,9,5
7.9,0.52,0.26,1.9,0.98,0.079,42,140,29,0.9964,3.23,10,0.54,9.5,5
8.6,0.49,0.28,1.9,0.63,0.11,20,136,38,0.9972,2.93,30,1.95,9.9,6
8.6,0.49,0.29,2,0.68,0.11,19,133,25,0.9972,2.93,91,1.98,9.8,5
7.7,0.49,0.26,1.9,0.98,0.062,9,31,26,0.9966,3.39,95,0.64,9.6,5
5,1.02,0.04,1.4,0.59,0.045,41,85,17,0.9938,3.75,71,0.48,10.5,4
4.7,0.6,0.17,2.3,0.83,0.058,17,106,49,0.9932,3.85,12,0.6,12.9,6
6.8,0.775,0,3,0.78,0.102,8,23,20,0.9965,3.45,2,0.56,10.7,5
7,0.5,0.25,2,0.83,0.07,3,22,17,0.9963,3.25,50,0.63,9.2,5
7.6,0.9,0.06,2.5,0.68,0.079,5,10,47,0.9967,3.39,82,0.56,9.8,5
8.1,0.545,0.18,1.9,0.63,0.08,13,35,25,0.9972,3.3,54,0.59,9,6
8.3,0.61,0.3,2.1,0.98,0.084,11,50,31,0.9972,3.4,6,0.61,10.2,6
7.8,0.5,0.3,1.9,0.98,0.075,8,22,27,0.9959,3.31,70,0.56,10.4,6
8.1,0.545,0.18,1.9,0.54,0.08,13,35,43,0.9972,3.3,3,0.59,9,6
8.1,0.575,0.22,2.1,0.59,0.077,12,65,39,0.9967,3.29,2,0.51,9.2,5
7.2,0.49,0.24,2.2,0.73,0.07,5,36,17,0.996,3.33,81,0.48,9.4,5
8.1,0.575,0.22,2.1,0.98,0.077,12,65,19,0.9967,3.29,41,0.51,9.2,5
7.8,0.41,0.68,1.7,0.59,0.467,18,69,34,0.9973,3.08,74,1.31,9.3,5
6.2,0.63,0.31,1.7,0.63,0.088,15,64,50,0.9969,3.46,6,0.79,9.3,5
8,0.33,0.53,2.5,0.59,0.091,18,80,48,0.9976,3.37,62,0.8,9.6,6
8.1,0.785,0.52,2,0.88,0.122,37,153,13,0.9969,3.21,95,0.69,9.3,5
7.8,0.56,0.19,1.8,0.73,0.104,12,47,33,0.9964,3.19,2,0.93,9.5,5
8.4,0.62,NA,2.2,0.78,0.084,11,108,42,0.9964,3.15,40,0.66,9.8,5
8.4,0.6,0.1,2.2,0.88,0.085,14,111,30,0.9964,3.15,35,0.66,9.8,5
10.1,0.31,0.44,2.3,0.73,0.08,22,46,21,0.9988,3.32,95,0.67,9.7,6
7.8,0.56,0.19,1.8,0.54,0.104,12,47,35,0.9964,3.19,7,0.93,9.5,5
9.4,0.4,0.31,2.2,0.59,0.09,13,62,17,0.9966,3.07,7,0.63,10.5,6
8.3,0.54,0.28,1.9,0.59,0.077,11,40,48,0.9978,3.39,29,0.61,10,6
7.8,0.56,0.12,2,0.98,0.082,7,28,46,0.997,3.37,69,0.5,9.4,6
8.8,0.55,0.04,2.2,0.98,0.119,14,56,20,0.9962,3.21,14,0.6,10.9,6
7,0.69,0.08,1.8,0.54,0.097,22,89,36,0.9959,3.34,34,0.54,9.2,6
7.3,1.07,0.09,1.7,0.68,0.178,10,89,13,0.9962,3.3,25,0.57,9,5
8.8,0.55,0.04,2.2,0.78,0.119,14,56,41,0.9962,3.21,89,0.6,10.9,6
7.3,0.695,0,2.5,0.83,0.075,3,13,32,0.998,3.49,67,0.52,9.2,5
8,0.71,0,2.6,0.93,0.08,11,34,48,0.9976,3.44,85,0.53,9.5,5
7.8,0.5,0.17,1.6,0.88,0.082,21,102,30,0.996,3.39,22,0.48,9.5,5
9,0.62,0.04,1.9,0.98,0.146,27,90,13,0.9984,3.16,39,0.7,9.4,5
8.2,1.33,0,1.7,0.59,0.081,3,12,43,0.9964,3.53,30,0.49,10.9,5
8.1,1.33,0,1.8,0.88,0.082,3,12,37,0.9964,3.54,2,0.48,10.9,5
8,0.59,0.16,1.8,0.73,0.065,3,16,50,0.9962,3.42,5,0.92,10.5,7
6.1,0.38,0.15,1.8,0.83,0.072,6,19,18,0.9955,3.42,77,0.57,9.4,5
8,0.745,0.56,2,0.98,0.118,30,134,11,0.9968,3.24,7,0.66,9.4,5
5.6,0.5,0.09,2.3,0.93,0.049,17,99,28,0.9937,3.63,32,0.63,13,5
5.6,0.5,0.09,2.3,0.68,0.049,17,99,16,0.9937,3.63,70,0.63,13,5
6.6,0.5,0.01,1.5,0.68,0.06,17,26,32,0.9952,3.4,45,0.58,9.8,6
7.9,1.04,0.05,2.2,0.98,0.084,13,29,46,0.9959,3.22,71,0.55,9.9,6
8.4,0.745,0.11,1.9,0.93,0.09,16,63,27,0.9965,3.19,14,0.82,9.6,5
8.3,0.715,0.15,1.8,0.54,0.089,10,52,46,0.9968,3.23,86,0.77,9.5,5
7.2,0.415,0.36,2,0.68,0.081,13,45,23,0.9972,3.48,58,0.64,9.2,5
7.8,0.56,0.19,2.1,0.54,0.081,15,105,48,0.9962,3.33,67,0.54,9.5,5
7.8,0.56,0.19,2,0.88,0.081,17,108,33,0.9962,3.32,44,0.54,9.5,5
8.4,0.745,0.11,1.9,0.73,0.09,16,63,18,0.9965,3.19,44,0.82,9.6,5
8.3,0.715,0.15,1.8,0.59,0.089,10,52,13,0.9968,3.23,59,0.77,9.5,5
5.2,0.34,0,1.8,0.78,0.05,27,63,22,0.9916,3.68,80,0.79,14,6
6.3,0.39,0.08,1.7,0.73,0.066,3,20,44,0.9954,3.34,18,0.58,9.4,5
5.2,0.34,0,1.8,0.83,0.05,27,63,24,0.9916,3.68,38,0.79,14,6
8.1,0.67,0.55,1.8,0.78,0.117,32,141,24,0.9968,3.17,30,0.62,9.4,5
5.8,0.68,0.02,1.8,0.98,0.087,21,94,33,0.9944,3.54,51,0.52,10,5
7.6,0.49,0.26,1.6,0.98,0.236,10,88,20,0.9968,3.11,23,0.8,9.3,5
6.9,0.49,0.1,2.3,0.88,0.074,12,30,23,0.9959,3.42,15,0.58,10.2,6
8.2,0.4,0.44,2.8,0.78,0.089,11,43,50,0.9975,3.53,44,0.61,10.5,6
7.3,0.33,0.47,2.1,0.83,0.077,5,11,43,0.9958,3.33,84,0.53,10.3,6
9.2,0.52,1,3.4,0.98,0.61,32,69,23,0.9996,2.74,64,2,9.4,4
7.5,0.6,0.03,1.8,0.93,0.095,25,99,44,0.995,3.35,0,0.54,10.1,5
7.5,0.6,0.03,1.8,0.73,0.095,25,99,39,0.995,3.35,23,0.54,10.1,5
7.1,0.43,0.42,5.5,0.68,0.07,29,129,44,0.9973,3.42,82,0.72,10.5,5
7.1,0.43,0.42,5.5,0.93,0.071,28,128,42,0.9973,3.42,19,0.71,10.5,5
7.1,0.43,0.42,5.5,0.93,0.07,29,129,38,0.9973,3.42,62,0.72,10.5,5
7.1,0.43,0.42,5.5,0.88,0.071,28,128,36,0.9973,3.42,45,0.71,10.5,5
7.1,0.68,0,2.2,0.59,0.073,12,22,20,0.9969,3.48,99,0.5,9.3,5
6.8,0.6,0.18,1.9,0.63,0.079,18,86,23,0.9968,3.59,100,0.57,9.3,6
7.6,0.95,0.03,2,0.63,0.09,7,20,31,0.9959,3.2,29,0.56,9.6,5
7.6,0.68,0.02,1.3,0.59,0.072,9,20,11,0.9965,3.17,63,1.08,9.2,4
7.8,0.53,0.04,1.7,0.83,0.076,17,31,39,0.9964,3.33,16,0.56,10,6
7.4,0.6,0.26,7.3,0.59,0.07,36,121,50,0.9982,3.37,87,0.49,9.4,5
7.3,0.59,0.26,7.2,0.93,0.07,35,121,28,0.9981,3.37,60,0.49,9.4,5
7.8,0.63,0.48,1.7,0.59,0.1,14,96,10,0.9961,3.19,46,0.62,9.5,5
6.8,0.64,0.1,2.1,0.63,0.085,18,101,34,0.9956,3.34,81,0.52,10.2,5
7.3,0.55,0.03,1.6,0.54,0.072,17,42,13,0.9956,3.37,93,0.48,9,4
6.8,0.63,0.07,2.1,0.73,0.089,11,44,29,0.9953,3.47,47,0.55,10.4,6
7.5,0.705,0.24,1.8,0.73,0.36,15,63,16,0.9964,3,24,1.59,9.5,5
7.9,0.885,0.03,1.8,0.88,0.058,4,8,50,0.9972,3.36,65,0.33,9.1,4
8,0.42,0.17,2,0.68,0.073,6,18,47,0.9972,3.29,38,0.61,9.2,6
8,0.42,0.17,2,0.88,0.073,6,18,45,0.9972,3.29,36,0.61,9.2,6
7.4,0.62,0.05,1.9,0.93,0.068,24,42,47,0.9961,3.42,70,0.57,11.5,6
7.3,0.38,0.21,2,0.88,0.08,7,35,47,0.9961,3.33,74,0.47,9.5,5
6.9,0.5,0.04,1.5,0.73,0.085,19,49,46,0.9958,3.35,24,0.78,9.5,5
7.3,0.38,0.21,2,0.68,0.08,7,35,22,0.9961,3.33,43,0.47,9.5,5
7.5,0.52,0.42,2.3,0.78,0.087,8,38,31,0.9972,3.58,14,0.61,10.5,6
7,0.805,0,2.5,0.93,0.068,7,20,35,0.9969,3.48,12,0.56,9.6,5
8.8,0.61,0.14,2.4,0.98,0.067,10,42,27,0.9969,3.19,48,0.59,9.5,5
8.8,0.61,0.14,2.4,0.68,0.067,10,42,19,0.9969,3.19,86,0.59,9.5,5
8.9,0.61,0.49,2,0.59,0.27,23,110,14,0.9972,3.12,58,1.02,9.3,5
7.2,0.73,0.02,2.5,0.83,0.076,16,42,20,0.9972,3.44,9,0.52,9.3,5
6.8,0.61,0.2,1.8,0.83,0.077,11,65,39,0.9971,3.54,53,0.58,9.3,5
6.7,0.62,0.21,1.9,0.83,0.079,8,62,29,0.997,3.52,22,0.58,9.3,6
8.9,0.31,0.57,2,0.54,0.111,26,85,11,0.9971,3.26,78,0.53,9.7,5
7.4,0.39,0.48,2,0.78,0.082,14,67,26,0.9972,3.34,42,0.55,9.2,5
7.7,0.705,0.1,2.6,0.88,0.084,9,26,32,0.9976,3.39,43,0.49,9.7,5
7.9,0.5,0.33,2,0.68,0.084,15,143,18,0.9968,3.2,20,0.55,9.5,5
7.9,0.49,0.32,1.9,0.59,0.082,17,144,11,0.9968,3.2,91,0.55,9.5,5
8.2,0.5,0.35,2.9,0.63,0.077,21,127,32,0.9976,3.23,92,0.62,9.4,5
6.4,0.37,0.25,1.9,0.83,0.074,21,49,33,0.9974,3.57,69,0.62,9.8,6
6.8,0.63,0.12,3.8,0.88,0.099,16,126,40,0.9969,3.28,90,0.61,9.5,5
7.6,0.55,0.21,2.2,0.93,0.071,7,28,36,0.9964,3.28,12,0.55,9.7,5
7.6,0.55,0.21,2.2,0.63,0.071,7,28,29,0.9964,3.28,75,0.55,9.7,5
7.8,0.59,0.33,2,0.54,0.074,24,120,41,0.9968,3.25,51,0.54,9.4,5
7.3,0.58,0.3,2.4,0.68,0.074,15,55,36,0.9968,3.46,68,0.59,10.2,5
11.5,0.3,0.6,2,0.63,0.067,12,27,48,0.9981,3.11,1,0.97,10.1,6
5.4,0.835,0.08,1.2,0.54,0.046,13,93,10,0.9924,3.57,55,0.85,13,7
6.9,1.09,0.06,2.1,0.59,0.061,12,31,18,0.9948,3.51,18,0.43,11.4,4
9.6,0.32,NA,1.4,0.63,0.056,9,24,48,0.99695,3.22,8,0.82,10.3,7
8.8,0.37,0.48,2.1,0.68,0.097,39,145,46,0.9975,3.04,52,1.03,9.3,5
6.8,0.5,0.11,1.5,0.88,0.075,16,49,41,0.99545,3.36,60,0.79,9.5,5
7,0.42,0.35,1.6,0.78,0.088,16,39,22,0.9961,3.34,13,0.55,9.2,5
7,0.43,0.36,1.6,0.73,0.089,14,37,21,0.99615,3.34,55,0.56,9.2,6
12.8,0.3,0.74,2.6,0.83,0.095,9,28,50,0.9994,3.2,5,0.77,10.8,7
12.8,0.3,0.74,2.6,0.54,0.095,9,28,37,0.9994,3.2,41,0.77,10.8,7
7.8,0.57,0.31,1.8,0.73,0.069,26,120,41,0.99625,3.29,86,0.53,9.3,5
7.8,0.44,0.28,2.7,0.59,0.1,18,95,40,0.9966,3.22,43,0.67,9.4,5
11,0.3,0.58,2.1,0.63,0.054,7,19,36,0.998,3.31,53,0.88,10.5,7
9.7,0.53,0.6,2,0.98,0.039,5,19,28,0.99585,3.3,30,0.86,12.4,6
NA,0.725,0.24,2.8,0.63,0.083,10,62,50,0.99685,3.35,80,0.56,10,6
11.6,0.44,0.64,2.1,0.54,0.059,5,15,47,0.998,3.21,60,0.67,10.2,6
8.2,0.57,0.26,2.2,0.93,0.06,28,65,37,0.9959,3.3,0,0.43,10.1,5
7.8,0.735,0.08,2.4,0.88,0.092,10,41,34,0.9974,3.24,43,0.71,9.8,6
7,0.49,0.49,5.6,0.83,0.06,26,121,26,0.9974,3.34,90,0.76,10.5,5
8.7,0.625,0.16,2,0.68,0.101,13,49,48,0.9962,3.14,62,0.57,11,5
8.1,0.725,0.22,2.2,0.59,0.072,11,41,46,0.9967,3.36,93,0.55,9.1,5
7.5,0.49,0.19,1.9,0.93,0.076,10,44,47,0.9957,3.39,52,0.54,9.7,5
7.8,0.53,0.33,2.4,0.78,0.08,24,144,47,0.99655,3.3,29,0.6,9.5,5
7.8,0.34,0.37,2,0.54,0.082,24,58,14,0.9964,3.34,17,0.59,9.4,6
7.4,0.53,0.26,2,0.54,0.101,16,72,14,0.9957,3.15,12,0.57,9.4,5
6.8,0.61,0.04,1.5,0.78,0.057,5,10,30,0.99525,3.42,85,0.6,9.5,5
8.6,0.645,0.25,2,0.93,0.083,8,28,39,0.99815,3.28,87,0.6,10,6
8.4,0.635,0.36,2,0.93,0.089,15,55,19,0.99745,3.31,62,0.57,10.4,4
7.7,0.43,0.25,2.6,0.54,0.073,29,63,34,0.99615,3.37,43,0.58,10.5,6
8.9,0.59,0.5,2,0.93,0.337,27,81,19,0.9964,3.04,25,1.61,9.5,6
9,0.82,0.14,2.6,0.63,0.089,9,23,45,0.9984,3.39,80,0.63,9.8,5
7.7,0.43,0.25,2.6,0.88,0.073,29,63,34,0.99615,3.37,65,0.58,10.5,6
6.9,0.52,0.25,2.6,0.88,0.081,10,37,32,0.99685,3.46,15,0.5,11,5
5.2,0.48,0.04,1.6,0.98,0.054,19,106,21,0.9927,3.54,41,0.62,12.2,7
8,0.38,0.06,1.8,0.98,0.078,12,49,24,0.99625,3.37,18,0.52,9.9,6
8.5,0.37,0.2,2.8,0.83,0.09,18,58,35,0.998,3.34,28,0.7,9.6,6
6.9,0.52,0.25,2.6,0.78,0.081,10,37,32,0.99685,3.46,92,0.5,11,5
8.2,1,0.09,2.3,0.93,0.065,7,37,12,0.99685,3.32,37,0.55,9,6
7.2,0.63,0,1.9,0.93,0.097,14,NA,45,0.99675,3.37,78,0.58,9,6
7.2,0.63,0,1.9,0.68,0.097,14,38,17,0.99675,3.37,81,0.58,9,6
7.2,0.645,0,1.9,0.68,0.097,15,39,32,0.99675,3.37,34,0.58,9.2,6
7.2,0.63,0,1.9,0.78,0.097,14,38,35,0.99675,3.37,12,0.58,9,6
8.2,1,0.09,2.3,0.98,0.065,7,37,23,0.99685,3.32,73,0.55,9,6
8.9,0.635,0.37,1.7,0.98,0.263,5,62,45,0.9971,3,24,1.09,9.3,5
12,0.38,0.56,2.1,0.63,0.093,6,24,14,0.99925,3.14,48,0.71,10.9,6
NA,0.58,0.1,1.8,0.73,0.102,28,109,17,0.99565,3.08,84,0.49,9.8,6
15,0.21,0.44,2.2,0.68,0.075,10,24,14,1.00005,3.07,51,0.84,9.2,7
15,0.21,0.44,2.2,0.88,0.075,10,24,30,1.00005,3.07,23,0.84,9.2,7
7.3,0.66,0,2,0.93,0.084,6,23,40,0.9983,3.61,26,0.96,9.9,6
7.1,0.68,0.07,1.9,0.54,0.075,16,51,17,0.99685,3.38,83,0.52,9.5,5
8.2,0.6,0.17,2.3,0.68,0.072,11,73,18,0.9963,3.2,77,0.45,9.3,5
7.7,0.53,0.06,1.7,0.93,0.074,9,39,45,0.99615,3.35,71,0.48,9.8,6
7.3,0.66,0,2,0.54,0.084,6,23,10,0.9983,3.61,12,0.96,9.9,6
10.8,0.32,0.44,1.6,0.88,0.063,16,37,21,0.9985,3.22,81,0.78,10,6
7.1,0.6,0,1.8,0.68,0.074,16,34,19,0.9972,3.47,47,0.7,9.9,6
11.1,0.35,0.48,3.1,0.59,0.09,5,21,30,0.9986,3.17,31,0.53,10.5,5
7.7,0.775,0.42,1.9,0.78,0.092,8,86,24,0.9959,3.23,9,0.59,9.5,5
7.1,0.6,0,1.8,0.54,0.074,16,34,15,0.9972,3.47,4,0.7,9.9,6
8,0.57,0.23,3.2,0.68,0.073,17,119,26,0.99675,3.26,37,0.57,9.3,5
9.4,0.34,0.37,2.2,0.88,0.075,5,NA,49,0.998,3.22,92,0.62,9.2,5
6.6,0.695,0,2.1,0.68,0.075,12,56,37,0.9968,3.49,91,0.67,9.2,5
7.7,0.41,0.76,1.8,0.68,0.611,8,45,50,0.9968,3.06,15,1.26,9.4,5
10,0.31,0.47,2.6,0.93,0.085,14,33,18,0.99965,3.36,35,0.8,10.5,7
7.9,0.33,0.23,1.7,0.59,0.077,18,45,33,0.99625,3.29,64,0.65,9.3,5
7,0.975,0.04,2,0.73,0.087,12,67,21,0.99565,3.35,49,0.6,9.4,4
8,0.52,0.03,1.7,0.73,0.07,10,35,23,0.99575,3.34,44,0.57,10,5
7.9,0.37,0.23,1.8,0.63,0.077,23,49,25,0.9963,3.28,40,0.67,9.3,5
12.5,0.56,0.49,2.4,0.68,0.064,5,27,23,0.9999,3.08,23,0.87,10.9,5
11.8,0.26,0.52,1.8,0.63,0.071,6,10,11,0.9968,3.2,36,0.72,10.2,7
8.1,0.87,0,3.3,0.59,0.096,26,61,49,1.00025,3.6,17,0.72,9.8,4
NA,0.35,0.46,3.6,0.73,0.078,15,37,10,0.9973,3.35,5,0.86,12.8,8
6.9,0.54,0.04,3,0.83,0.077,7,27,39,0.9987,3.69,100,0.91,9.4,6
11.5,0.18,0.51,4,0.68,0.104,4,23,23,0.9996,3.28,20,0.97,10.1,6
7.9,0.545,0.06,4,0.73,0.087,27,61,16,0.9965,3.36,27,0.67,10.7,6
11.5,0.18,0.51,4,0.93,0.104,4,23,42,0.9996,3.28,64,0.97,10.1,6
10.9,0.37,0.58,4,0.78,0.071,17,65,47,0.99935,3.22,42,0.78,10.1,5
8.4,0.715,0.2,2.4,0.98,0.076,10,38,19,0.99735,3.31,4,0.64,9.4,5
7.5,0.65,0.18,7,0.88,0.088,27,94,38,0.99915,3.38,52,0.77,9.4,5
7.9,0.545,0.06,4,0.83,0.087,27,61,40,0.9965,3.36,36,0.67,10.7,6
6.9,0.54,0.04,3,0.59,0.077,7,27,36,0.9987,3.69,59,0.91,9.4,6
